Restart? - 0
Model:	2dxyz
Jx:	0.225
Jy:	0.425
Jz:	0.25
Field:	0.05
Theta:	0
Dissipation:	1
N_sites (col x row):	9    (3 x 3 )
Reference:	
000
000
000

000
000
000

---------------------------


Number of iteration:	40000
Target walker number:	25000
Initial energy shift:	-4
Time step:	0.001
Random seed:	12345
Population control damping:	0.1
Importance sampling:	0.606531
Initiator:	10
Starting time:	Mon Jan 15 16:00:27 2018

---------------------------
Time 	 State number 	 Real Mx 	 Imag Mx 	 Real My 	 Imag My 	 Real Mz 	 Imag Mz 	 Div real 	 Div imag 	 Diag_det_nb 	 Det_nbr
209	67	0.183191	0.183191	3.84702	0.183191	-369.667	0.555556	373	-1	9	67
210	67	0.183191	0.183191	3.84702	0.183191	-369.667	0.555556	373	-1	9	67
211	68	0.183191	0.183191	3.84702	0.183191	-372	0.555556	376	-1	10	68
212	70	0.183191	0.366383	4.03021	0.183191	-373.556	0.555556	378	-1	11	70
213	71	0.183191	0.549574	3.84702	0.183191	-374.556	0.555556	379	-1	11	71
214	73	0.183191	0.549574	3.84702	0.183191	-376.333	0.555556	381	-1	12	73
215	73	0.183191	0.549574	3.84702	0.183191	-377.889	0.555556	383	-1	12	73
216	73	0.183191	0.549574	3.84702	0.183191	-379.889	0.555556	385	-1	12	73
217	74	0.183191	0.549574	3.84702	0.183191	-381.889	0.555556	387	-1	12	74
218	74	0.183191	0.549574	3.84702	0.183191	-384.889	0.555556	390	-1	12	74
219	75	0.183191	0.549574	3.84702	0.183191	-384.889	0.555556	390	-1	12	75
220	75	0.183191	0.549574	3.84702	0.183191	-384.889	0.555556	390	-1	12	75
221	76	0.183191	0.549574	3.84702	0.183191	-386.889	0.555556	392	-1	12	76
222	75	0.183191	0.366383	3.66383	0.183191	-387.889	0.555556	393	-1	12	75
223	76	0.183191	0.366383	3.66383	0.183191	-389.889	0.555556	395	-1	12	76
224	77	0.183191	0.366383	3.66383	0.183191	-391.444	0.555556	397	-1	13	77
225	78	0.183191	0.366383	3.66383	0.183191	-392.444	0.555556	398	-1	13	78
226	79	0.549574	0.366383	3.66383	-0.183191	-393.444	0.555556	399	-1	13	79
227	81	0.549574	0.366383	3.66383	-0.183191	-396.444	0.555556	402	-1	13	81
228	81	0.549574	0.366383	3.66383	-0.183191	-395.444	0.555556	401	-1	13	81
229	81	0.549574	0.366383	3.66383	-0.183191	-395.444	0.555556	401	-1	13	81
230	81	0.549574	0.366383	3.66383	-0.183191	-396	0.555556	402	-1	13	81
231	81	0.549574	0.366383	3.66383	-0.183191	-396	0.555556	402	-1	13	81
232	82	0.549574	0.366383	3.66383	-0.183191	-396	0.555556	402	-1	13	82
233	86	0.732765	0.549574	3.48063	-0.366383	-397	0.555556	403	-1	13	86
234	87	0.732765	0.549574	3.48063	-0.366383	-399	0.555556	405	-1	13	87
235	88	0.549574	0.549574	3.48063	-0.549574	-400.778	0.555556	407	-1	13	88
236	90	0.549574	0.366383	3.66383	-0.549574	-405.778	0.555556	412	-1	13	90
237	91	0.732765	0.366383	3.66383	-0.366383	-406.778	0.555556	413	-1	13	91
238	92	0.732765	0.366383	3.66383	-0.366383	-406.778	0.555556	413	-1	13	92
239	95	0.732765	0.366383	3.66383	-0.366383	-408.778	0.555556	415	-1	13	95
240	99	0.732765	0.366383	4.03021	-0.366383	-410.333	0.555556	417	-1	14	99
241	103	0.732765	0.366383	4.03021	-0.366383	-409.333	0.555556	416	-1	14	103
242	104	0.732765	0.366383	4.03021	-0.366383	-410.333	0.555556	417	-1	14	104
243	106	0.732765	0.366383	4.03021	-0.366383	-413.889	0.555556	421	-1	14	106
244	107	0.732765	0.366383	4.03021	-0.366383	-415.889	0.555556	423	-1	14	107
245	108	0.732765	0.366383	4.03021	-0.366383	-418.889	0.555556	426	-1	14	108
246	109	0.549574	0.366383	4.03021	-0.549574	-418.889	0.555556	426	-1	14	109
247	110	0.549574	0.366383	4.03021	-0.549574	-419.889	0.555556	427	-1	14	110
